state,forecast_date,target_end_date,trained_q50,actual,normalized_interval_width,normalized_disagreement,num_modes,branch_1_center,branch_1_weight,branch_2_center,branch_2_weight,branch_3_center,branch_3_weight,forecast_error,closest_actual_branch
Rhode Island,2021-09-13,2021-09-18,2111.0,2600.0,0.5646612979630506,0.1877908238902989,1,2178.0422786462086,1.0,,,,,0.18807692307692309,
Rhode Island,2021-09-20,2021-09-25,2722.0,2251.0,0.5033063923585599,0.2267454231246495,1,2877.759762417364,1.0,,,,,0.1730345334313005,
Rhode Island,2021-09-27,2021-10-02,2217.0,2019.0,1.297699594046008,0.1993997377085216,1,2390.653205708791,1.0,,,,,0.08930987821380243,
Rhode Island,2021-10-04,2021-10-09,2017.0,1851.0,0.8190381755081805,0.08840838130881686,1,2071.3365871890574,1.0,,,,,0.08230044620723848,
Rhode Island,2021-10-11,2021-10-16,1787.0,1835.0,0.672076105204253,0.2277038768312314,1,1868.1982569919855,1.0,,,,,0.026158038147138966,
Rhode Island,2021-10-18,2021-10-23,1752.0,1593.0,0.8110730593607306,0.25066203542778515,1,1717.765426823376,1.0,,,,,0.09075342465753425,
Rhode Island,2021-10-25,2021-10-30,1630.0,1407.0,1.030674846625767,0.19998107508453453,1,1678.6767345839858,1.0,,,,,0.13680981595092023,
Rhode Island,2021-11-01,2021-11-06,1396.0,1674.0,0.9541547277936963,0.3305077364786101,1,1520.274607226478,1.0,,,,,0.16606929510155316,
Rhode Island,2021-11-08,2021-11-13,1627.0,2178.0,0.9557467732022127,0.21353530555096983,1,1627.2137658246825,1.0,,,,,0.2529843893480257,
Rhode Island,2021-11-15,2021-11-20,2083.0,3130.0,0.643302928468555,0.1702872510780174,1,2110.3607143697636,1.0,,,,,0.3345047923322684,
Rhode Island,2021-11-22,2021-11-27,3106.0,2174.0,0.7414681262073406,0.25544540485938544,3,1935.80612244898,0.3741188017210471,2979.0227694505147,0.23039772568640052,3636.7028295166992,0.39548347259255245,0.30006439150032194,1.0
Rhode Island,2021-11-29,2021-12-04,2747.0,6297.0,0.8937022206042956,0.2247711365352068,3,2097.5684233070865,0.2821020601060542,2728.8948157480318,0.5292985189091036,3508.7685946456695,0.18859942098484228,0.5637605208829601,3.0
Rhode Island,2021-12-06,2021-12-11,3123.0,6417.0,0.9612552033301313,0.5161095277589963,3,2182.0,0.2382100777798951,3120.1109694480892,0.4271729498953432,5380.1055776639405,0.33461697232476173,0.5133239831697055,3.0
Rhode Island,2021-12-13,2021-12-18,6520.0,7478.0,0.8348159509202454,0.34397160328338255,3,3125.78571428571,0.3300704222681149,7019.941979371236,0.5507043311221337,9548.614878777422,0.11922524660975141,0.1281091200855844,2.0
Rhode Island,2021-12-20,2021-12-25,7908.0,8475.0,0.5316135558927668,0.2820560760086724,3,4558.10204081632,0.2462210874127992,8123.199651649204,0.45062730348273244,10090.150057625968,0.3031516091044683,0.06690265486725663,2.0
Rhode Island,2021-12-27,2022-01-01,10219.0,13868.0,0.721890595948723,0.2926157615944446,3,6780.22448979592,0.49853500899856096,12059.739137140343,0.23236638330932868,13838.101965719516,0.2690986076921104,0.26312373810210554,3.0
Rhode Island,2022-01-03,2022-01-08,18071.0,34970.0,0.9602678324387139,0.08293430551623963,1,17941.738647980994,1.0,,,,,0.4832427795253074,
Rhode Island,2022-01-10,2022-01-15,51767.0,36043.0,1.0402186721270308,0.008517566257157804,1,51756.17645506137,1.0,,,,,0.30374562945505823,
Rhode Island,2022-01-17,2022-01-22,47559.0,25000.0,1.0331167602346558,0.07699152210639566,1,47121.028720322356,1.0,,,,,0.474337139132446,
Rhode Island,2022-01-24,2022-01-29,24870.0,14298.0,0.9725774024929634,0.1033596490380403,1,24008.74770111688,1.0,,,,,0.42509047044632087,
Rhode Island,2022-01-31,2022-02-05,26604.0,6494.0,0.6841452413170952,0.023834687681302362,1,26593.335362025344,1.0,,,,,0.755901368215306,
Rhode Island,2022-02-07,2022-02-12,15212.0,3943.0,1.2573626084669998,0.44282178369605874,3,2086.08211473566,0.17786781795618145,6556.258074883503,0.12382729544817693,18923.7448979592,0.6983048865956417,0.7407967394162503,1.0
Rhode Island,2022-02-14,2022-02-19,2797.0,2201.0,1.0933142652842331,1.3445803551285702,3,1339.7320424232717,0.38779569019197724,2823.612405592165,0.40194690893258544,11290.4591836735,0.21025740087543737,0.21308544869503038,2.0
Rhode Island,2022-02-21,2022-02-26,1715.0,1464.0,0.8967930029154519,1.1284647716388492,3,1236.5339868230753,0.7117492517012292,2395.0679736461507,0.13401375269693974,6475.12244897959,0.15423699560183118,0.14635568513119535,1.0
Rhode Island,2022-02-28,2022-03-05,1134.0,1274.0,1.9029982363315696,0.7671771667021395,1,1197.9294832225264,1.0,,,,,0.10989010989010989,
Rhode Island,2022-03-07,2022-03-12,921.0,1019.0,1.711183496199783,0.6487768400315962,1,973.2638015305668,1.0,,,,,0.09617271835132483,
Rhode Island,2022-03-14,2022-03-19,722.0,1262.0,3.3310249307479225,0.6349913514410677,1,654.9883448368391,1.0,,,,,0.42789223454833597,
Rhode Island,2022-03-21,2022-03-26,879.0,1108.0,2.249146757679181,0.6857976006234591,1,742.8849220687712,1.0,,,,,0.20667870036101083,
